,time,latitude,longitude,down,heading,x,y,z
529,16999333000,40.44019764204872,-79.9424403322577,261.02573478123145,-96.67513777325205,155.7499039585618,-165.38811741406852,261.0216863386205
530,16999367000,40.440197595093835,-79.94244190915359,261.0170486963781,-96.11363173835305,155.61610982670462,-165.39333419893282,261.0130033785247
531,16999400000,40.44019755933852,-79.94244349192432,261.0078483195208,-95.55716257882028,155.48181719650287,-165.3973072904192,261.00380616887367
532,16999433000,40.4401975340819,-79.94244508043312,260.998078525299,-94.99462745086161,155.3470376736912,-165.40011452045826,260.99403958166783
533,16999483000,40.44019751987304,-79.94244667713556,260.9886295552916,-94.46353508594396,155.21156293223515,-165.4016949425594,260.984593863717
534,16999500000,40.440197518039085,-79.94244828111437,260.9797403477663,-93.93495303492244,155.07547080308612,-165.40190118508477,260.9757079562451
535,16999533000,40.440197525836254,-79.94244989068373,260.96960820248984,-93.4019099868607,154.9389042824757,-165.4010378887569,260.96557914757574
536,16999583000,40.44019754601526,-79.94245150404792,260.9595128751846,-92.89299551025468,154.8020157567137,-165.3987996232704,260.95548719755124
537,16999600000,40.440197576164714,-79.94245312347394,260.94977685702514,-92.37982102454372,154.66461289457135,-165.39545418113693,260.94575459496957
538,16999650000,40.44019761626704,-79.94245474743151,260.94054395431874,-91.88237277181432,154.5268255337048,-165.39100351424682,260.9365251422498
539,16999667000,40.44019766708998,-79.94245637556476,260.9307049539996,-91.4088820261381,154.38868384436736,-165.38536233655435,260.92668963088283
540,16999700000,40.44019772570874,-79.94245800825686,260.9202133458147,-90.9625463059594,154.25015531940596,-165.37885544067774,260.91620153657794
541,16999733000,40.440197793420865,-79.94245964670914,260.91029099238875,-90.57940359424448,154.11113805782134,-165.37133876991848,260.9062827350546
542,16999767000,40.44019786766802,-79.94246129148802,260.9005183088111,-90.2670943888608,153.97158399532344,-165.36309641261133,260.89651363090275
543,16999817000,40.44019792871211,-79.94246292873274,260.89057837932774,-90.05093886467246,153.832669206426,-165.35632020395002,260.8865772243757
544,16999833000,40.44019797810032,-79.9424645576997,260.8807091389999,-89.92960656998663,153.69445678548522,-165.35083833755678,260.8767114534064
545,16999867000,40.44019802884648,-79.94246619395267,260.8714706904229,-89.88674165745218,153.555626183567,-165.34520570119952,260.8674764918789
546,16999917000,40.440198079949944,-79.94246783616225,260.86237674965645,-89.85381446377835,153.41629018898232,-165.33953339819266,260.85838604530676
547,16999933000,40.440198128807765,-79.94246948166752,260.85370650974795,-89.81213060149777,153.2766745827662,-165.33411048333238,260.8497192990563
548,16999967000,40.44019817839492,-79.94247113215182,260.8448542215445,-89.79139217628187,153.13663651807434,-165.3286065786067,260.8408705118381
549,16999967000,40.44019817839492,-79.94247113215182,260.8448542215445,-89.79139217628187,153.13663651807434,-165.3286065786067,260.8408705118381
550,17000000000,40.44019822793217,-79.94247278825806,260.83621827873344,-89.79435698804835,152.99612145761722,-165.3231082285667,260.83223807918534
551,17999033000,40.4401982761732,-79.94247444970809,260.82809355519316,-89.80029031022521,152.8551530104201,-165.31775384153272,260.8241168694945
